bike_name,brand,year,fuel_type,kms_driven,engine_capacity_cc,price_usd
Ola S1 Air,Ola,2023,Electric,17983,0,1179.00
Harley-Davidson Street 750,Harley-Davidson,2018,Petrol,63173,948,3179.00
Royal Enfield Meteor 350,Royal Enfield,2019,Petrol,65315,312,1676.00
Ather 450X Gen 3,Ather,2020,Electric,10772,0,890.00
Harley-Davidson Fat Boy,Harley-Davidson,2018,Petrol,22191,1000,8179.00
Bajaj Pulsar 150,Bajaj,2020,Petrol,5748,155,1046.00
Suzuki Burgman Street,Suzuki,2019,Petrol,2436,1000,10317.00
Bajaj Pulsar NS200,Bajaj,2019,Petrol,45281,200,1107.00
Suzuki Access 125,Suzuki,2022,Petrol,5775,110,589.00
Yamaha YZF-R3,Yamaha,2016,Petrol,28556,1340,5683.00
Kawasaki Ninja ZX-10R,Kawasaki,2021,Petrol,44778,1000,10920.00
TVS Apache RR 310,TVS,2020,Petrol,44386,350,2089.00
Ola S1 Air,Ola,2021,Electric,3467,0,975.00
Suzuki Hayabusa,Suzuki,2023,Petrol,57801,1000,12946.00
KTM Duke 200,KTM,2022,Petrol,64567,200,1484.00
Bajaj Platina 110,Bajaj,2022,Petrol,38047,125,729.00
Suzuki Gixxer 250,Suzuki,2018,Petrol,69557,250,661.00
TVS Jupiter,TVS,2021,Petrol,44238,125,555.00
Kawasaki Versys 650,Kawasaki,2018,Petrol,54182,750,3524.00
Yamaha YZF-R3,Yamaha,2019,Petrol,54607,1000,8001.00
Bajaj Platina 110,Bajaj,2022,Petrol,24449,125,555.00
Kawasaki Ninja 300,Kawasaki,2022,Petrol,57605,350,2594.00
Hero Glamour,Hero,2020,Petrol,59124,1000,9164.00
Harley-Davidson Street 750,Harley-Davidson,2023,Petrol,45492,948,6637.00
Yamaha YZF-R3,Yamaha,2019,Petrol,5159,1340,10065.00
Kawasaki Ninja 300,Kawasaki,2019,Petrol,57392,399,1760.00
Ola S1 Pro Gen 2,Ola,2022,Electric,8865,0,1183.00
TVS Jupiter,TVS,2019,Petrol,32681,110,331.00
Royal Enfield Interceptor 650,Royal Enfield,2019,Petrol,61897,948,3856.00
TVS Radeon,TVS,2018,Petrol,67392,1340,6331.00
Harley-Davidson Fat Boy,Harley-Davidson,2020,Petrol,47127,1000,9700.00
Royal Enfield Classic 350,Royal Enfield,2022,Petrol,10551,300,3098.00
TVS Radeon,TVS,2019,Petrol,49311,1340,8286.00
Ola S1 Pro Gen 2,Ola,2020,Electric,7245,0,889.00
Yamaha FZ S V3,Yamaha,2024,Petrol,5621,160,1437.00
Suzuki Gixxer 250,Suzuki,2020,Petrol,42044,200,1247.00
KTM RC 390,KTM,2015,Petrol,25902,373,1243.00
TVS Apache RR 310,TVS,2019,Petrol,43362,399,1956.00
Suzuki Gixxer 250,Suzuki,2022,Petrol,49692,200,1457.00
Harley-Davidson Fat Boy,Harley-Davidson,2019,Petrol,40971,1340,8556.00
TVS Ntorq 125,TVS,2019,Petrol,45726,125,522.00
Ather 450S,Ather,2023,Electric,5254,0,1152.00
Royal Enfield Himalayan 411,Royal Enfield,2023,Petrol,22718,1340,14319.00
TVS Apache RR 310,TVS,2021,Petrol,44630,399,2505.00
Honda Hness CB350,Honda,2018,Petrol,29262,399,1646.00
Ather 450X Gen 3,Ather,2022,Electric,1001,0,1130.00
Harley-Davidson Street 750,Harley-Davidson,2019,Petrol,30063,883,4598.00
Ather 450S,Ather,2020,Electric,5590,0,930.00
Bajaj Pulsar 150,Bajaj,2021,Petrol,42279,150,961.00
Royal Enfield Himalayan 411,Royal Enfield,2017,Petrol,57511,1340,5803.00
Bajaj Pulsar NS200,Bajaj,2019,Petrol,36892,250,1039.00
Suzuki Burgman Street,Suzuki,2015,Petrol,58372,1340,5587.00
Hero Xpulse 200,Hero,2023,Petrol,60929,250,1520.00
TVS Apache RR 310,TVS,2017,Petrol,35440,312,1506.00
Ather 450S,Ather,2022,Electric,11139,0,1199.00
TVS Radeon,TVS,2020,Petrol,16316,1000,10869.00
Yamaha YZF-R15 V4,Yamaha,2022,Petrol,41316,160,1005.00
Suzuki Hayabusa,Suzuki,2021,Petrol,41104,1340,11107.00
Kawasaki Ninja ZX-10R,Kawasaki,2022,Petrol,42869,1000,12201.00
